 OB150401 17:36:19.48 -27:46:26.9 1.095 2015-04-06.71 23.528 14.734 0.83 13.274 1.837 2 2 3.0-10.0 RoboNet
 OB150400 17:51:33.24 -32:03:25.4 1.123 2015-03-26.74 11.963 16.711 0.98 16.694 1.251 1 1 1.0-3.0 RoboNet
 OB150403 17:26:32.88 -30:03:57.9 1.73 2015-03-18.70 15.687 19.031 1.05 19.002 1.21 3 3 0.5-1.0 RoboNet
 OB150503 18:02:40.20 -29:45:24.8 1050.5 2015-04-17.00 10.936 15.766 0.93 15.862 6.0 4 4 1.0-3.0 RoboNet
